f(Hz),real(S11),imag(S11),real(S21),imag(S21)
174193548387096.75,0.001491770290477116,0.005333494908282857,0.8798154827116849,-0.4358522148996527
175806451612903.2,-0.0013101023773441152,0.0044549601787701055,0.9799385138004933,0.025777846783299415
177419354838709.66,-0.0024004803193487423,0.002367342435822468,0.8528340447528664,0.47987471980281676
179032258064516.1,-0.001814429280190788,0.000777164395882545,0.5287706223468953,0.8213021469328925
180645161290322.56,-0.0007048125472444028,0.0005508230192031705,0.08346051189578564,0.9713529466218757
182258064516129.0,-0.00032038693649068137,0.0013715032891896718,-0.3794572422408719,0.8958955494994744
183870967741935.47,-0.0011240449739349106,0.0021245504282076987,-0.75257122853519,0.613297850570003
185483870967741.94,-0.002485901841436871,0.001833363250773614,-0.9497767766371121,0.18997598227605675
187096774193548.38,-0.003272402065536146,0.0004858134847362062,-0.9262108302798068,-0.2753235996829091
188709677419354.84,-0.0028695638045219355,-0.0009941980848384095,-0.6884069854887157,-0.6746365100694699
190322580645161.28,-0.0017131102132110297,-0.0016146548674543292,-0.29248162894235397,-0.9158230505641157
191935483870967.75,-0.0008513702760910368,-0.001221575149423342,0.1690879666365473,-0.9438074476457649
193548387096774.2,-0.0009531583104114297,-0.0006247145037331936,0.5890347955270737,-0.7531965143625391
195161290322580.62,-0.0016552131718622796,-0.0008329651905436974,0.8702797302935829,-0.3893442068476755
196774193548387.1,-0.0018427198485865355,-0.002068512356833811,0.9484747386643202,0.06244370138226587
198387096774193.53,-0.0006567577875253662,-0.0034358460603642997,0.8067673828558094,0.4970004339716844
200000000000000.0,0.0016224037051374431,-0.003594891755026104,0.47936443573005716,0.8138517971105935
201612903225806.44,0.0036254254712136803,-0.0019320649696734635,0.04322939456801852,0.9404427313964138
203225806451612.88,0.003937929816771345,0.0007713156744495298,-0.40000950095155774,0.8487257305755505
204838709677419.38,0.002308505564781261,0.002832066056047681,-0.7477320211005521,0.5613835828055114
206451612903225.8,-4.528603268613744e-05,0.0029860081261883008,-0.9201307355244869,0.1462697040830195
208064516129032.28,-0.0013478665093009988,0.0014235514625601244,-0.8785875817671696,-0.29965103240809415
209677419354838.72,-0.0006268429248025073,-0.0003146641281169598,-0.6342956334431691,-0.6730260941503372
211290322580645.2,0.0015041465904222571,-0.00041523756396607636,-0.2452375102611483,-0.888054858458124
212903225806451.62,0.0030424960866877082,0.0018323081420624104,0.1975029591101754,-0.8961401243149005
