f(Hz),real(S12),imag(S12),real(S22),imag(S22),real(S32),imag(S32),real(S42),imag(S42)
174193548387096.75,-0.0019392263103033807,0.011322286166188779,-0.0015860674429954854,-0.0027724419518452615,-0.20627334004899467,0.004196665372710578,0.8758195763210644,0.41428036681023633
175806451612903.2,-0.009033937467829215,0.009112001848910544,0.0003485187908206043,0.0007943061771274628,-0.01731695609544578,-0.19919752175157124,-0.37560081919502314,0.8930059743274017
177419354838709.66,-0.008005320778596515,0.005678479995071297,-0.0003736263379090008,-0.0012933630430172881,0.19146051405923772,-0.029721608906159807,-0.9087865285790614,-0.33544184724144327
179032258064516.1,-0.008768030928539505,0.0031815159972905355,0.0021050175749944733,0.0009282087871789193,0.04134408292041006,0.18315893860943364,0.29421916058082187,-0.9227689365842795
180645161290322.56,-0.007353210770168288,0.0011013913320424998,-0.0012223231466794101,0.0024843402716174276,-0.174376996866851,0.05216802752902533,0.9349147735958835,0.25192827912658383
182258064516129.0,-0.007116139517921319,-0.00038808768653790385,-0.001728676826357171,-2.0962290893790098e-05,-0.06214402168481342,-0.16515947536914086,-0.20870450401967114,0.9450893957520192
183870967741935.47,-0.005257961385916159,-0.0021272005638503363,-0.0011411713635990034,0.00032115752025214364,0.1555508615812001,-0.07127594013577794,-0.9532817547416096,-0.16453031586380043
185483870967741.94,-0.004107489606282446,-0.0020457923254595086,-0.002029282279367763,-0.000909252043415317,0.07955768422636693,0.14562990807945184,0.11956443941751964,-0.9595252569099767
187096774193548.38,-0.0032849383848724033,-0.003029599753321054,4.7781833940530423e-05,-0.0019405895217030373,-0.13546762783796767,0.08698510567576469,0.9637540594028033,0.07394087234470346
188709677419354.84,-0.0015217331990975524,-0.003026076747107328,0.0008499886067803927,-0.00012963807083667803,-0.09356278310426275,-0.1251382038767706,-0.027785188835986838,0.9659299973730171
190322580645161.28,-0.0006767224808178525,-0.002601763995699973,-5.923265242612389e-05,0.00033057401516738144,0.11470498901342831,-0.0992967412307647,-0.9659962344616289,0.018775916381268867
191935483870967.75,0.0004629638724840854,-0.0020096817989488165,-0.00043736901561191064,0.00028189940875597704,0.10419965983823705,0.10422236193477652,-0.06562781767081236,-0.9639218825736223
193548387096774.2,0.00045238729837775296,-0.0007548052456689112,-0.0007758244208840811,-0.0004990932546825148,-0.09373784886077009,0.10828605701019321,0.9596819941856961,-0.11264701895304738
195161290322580.62,0.00016732652370230944,-0.0008415918006621891,0.0006868830508816012,-0.0007814124525795355,-0.1115763529576021,-0.08329879452754965,0.15970831751970882,0.9532805442006299
196774193548387.1,0.0006635034576718221,-0.0003804092321526683,0.000773030451083316,0.0009671851259032894,0.07295555126566855,-0.11408855015712945,-0.9447030424024351,0.20663856845684825
198387096774193.53,0.0002306737266668486,-9.467445917709344e-05,-0.00022785888950213956,0.0009199552244589823,0.11584681626796237,0.06275149851450684,-0.2533169465406695,-0.9338978354134713
200000000000000.0,0.000917887536562098,-7.301789912510089e-05,-0.00017062495401151654,0.0015283538910259044,-0.052738165446530934,0.11688534912391915,0.9208941919316033,-0.29962530845752877
201612903225806.44,0.00042806838665124643,0.0014812164549060287,-0.0020940058162273283,0.0012837760761136535,-0.11722690570567923,-0.042968093004205864,0.34536927849239263,0.9056835460095461
203225806451612.88,-0.000991545857802873,0.0006788647330462455,-0.0010587869168801674,-0.00034142836341700104,0.033477557622357844,-0.11689470382828598,-0.8882164526284421,0.39042644299659607
204838709677419.38,-0.00031453757358620147,0.0004014848175666503,-0.0016736593190195981,0.0013832034591733703,0.11591891924641802,0.02429881756325026,-0.4346875400873166,-0.8685111189841241
206451612903225.8,-0.0011386936794880503,6.251384747123955e-05,-0.002417616637689002,-0.0020972537096258705,-0.015457110321732016,0.11433484332366375,0.8465964668456463,-0.47803190486028946
208064516129032.28,0.0009685596052601052,-0.00028791855040737757,0.0017085468064264836,0.0006781307695295257,-0.11218965499657158,-0.00698130317206316,0.520298440051607,0.8225426564131688
209677419354838.72,-0.0014312374646217787,0.002715097477366582,-0.004265669076516373,0.0004283987731342266,-0.0010936640846427733,-0.10952805061400119,-0.7963336416368874,0.5612893797299513
211290322580645.2,-0.0020344953381751505,-0.0026608083089755697,0.003478844104507523,-0.0010123147691290602,0.10638385549839666,-0.008723053949495364,-0.600856301599487,-0.7679398793905032
212903225806451.62,0.001192898266458385,0.0017084137785170696,-0.011665247217998352,0.004341811681350138,0.01590019757891708,0.10274150017052838,0.7371467466806749,-0.6390107456161326
