f(Hz),real(S11),imag(S11),real(S21),imag(S21),real(S31),imag(S31),real(S41),imag(S41)
174193548387096.75,-0.008233849771272655,-0.011119820710893735,0.00036695950856358744,0.0006464774986032248,0.24693558752899966,-0.9688131927577315,-0.01590996850247955,-0.0344910034213448
175806451612903.2,-0.012221973898523288,-0.009332947948807716,-0.00041481363568423424,-0.000193175893816339,0.9820497771697946,0.18588385863556545,0.03192953563174861,-0.017680104214195837
177419354838709.66,-0.008856993170443484,-0.010313778495179343,0.0002772107320677071,-9.613874717506377e-05,-0.12381574208873568,0.9916899013210122,0.01918368802023,0.02946981029931302
179032258064516.1,-0.0082234110671181,-0.008327940298533893,-5.175955293124241e-05,0.00015836470537133104,-0.9974033368445454,-0.06099978339505069,-0.02716675622141707,0.020443619393496662
180645161290322.56,-0.007179607478344255,-0.0075737242916123415,-5.138588063164343e-05,-9.41238564401286e-05,-0.0023749185440508536,-0.9992031414822516,-0.021438635160645553,-0.02502779072430296
182258064516129.0,-0.006768188313818341,-0.00627971704161315,0.00010213216484897708,-6.057947569521651e-06,0.9969900366039576,-0.06600811810960726,0.023021323942557955,-0.022156272967028382
183870967741935.47,-0.00604969135670596,-0.005662269624688726,-1.842902968104104e-05,8.507131308692261e-05,0.1296718595313598,0.9907225104863814,0.022610552979810978,0.021112550565459114
185483870967741.94,-0.00535668498796956,-0.004456062687725888,-4.2319616767685555e-05,-5.921362025426293e-05,-0.9803827459617522,0.19307356985354188,-0.019280127887085302,0.02282449524713679
187096774193548.38,-0.004973949827737166,-0.0035973782620696932,0.00010580879495201254,1.2569369811263487e-05,-0.25593660241653016,-0.9659424348006498,-0.02282065961600131,-0.01751187375611278
188709677419354.84,-0.004284865158178508,-0.0029338502129195557,-6.555996003694248e-05,0.00012381127784482236,0.9474082797191287,-0.3179888249926755,0.015799612854523474,-0.022618838245586106
190322580645161.28,-0.002886405911515757,-0.0018524415406734889,-9.844356288717122e-05,-0.00010592137932445164,0.37894746582053984,0.9248087335514827,0.02223730168382146,0.014134734034715185
191935483870967.75,-0.0024207286493783376,0.0006706768469588886,0.00011862402227856954,-4.379893121023026e-05,-0.898180780402592,0.43852436478152984,-0.012507137851287521,0.02169542834579937
193548387096774.2,-0.003311323650743626,0.001389523342542449,-1.610339408619928e-05,9.244554490756936e-05,-0.4964481884387098,-0.8675773273996195,-0.0210156317115604,-0.010907094138160335
195161290322580.62,-0.0013838598179885322,0.0022885623643654437,-3.5867547063200466e-05,-5.800390469515688e-05,0.8330887848541121,-0.5524433803354923,0.009328777123479251,-0.020222555229831324
196774193548387.1,-0.002133170933244563,0.006555412246343679,6.015833578607545e-05,2.7036244895643508e-05,0.6062243263306148,0.7948071849045134,0.01934040375489244,0.007771480511382866
198387096774193.53,-0.005339618807952695,0.005941271834311619,-7.428567858021358e-05,1.4233496682596092e-05,-0.7528429518990855,0.6575319275152608,-0.0062395643490894435,0.01839114114212895
200000000000000.0,-0.002909082678494384,0.005801062339295829,6.053252141105967e-05,-9.048196031658286e-05,-0.70609912195605,-0.7073424701985352,-0.017391764674862132,-0.004740828856704067
201612903225806.44,-0.005058060450521315,0.009959944778886277,6.272086690766415e-05,0.00012723003708777297,0.6584551310247677,-0.7516632308221883,0.0032816678262579243,-0.016353957132983373
203225806451612.88,-0.008034529418474186,0.0064346884081220605,-0.000157219200253139,-8.425270568604478e-06,0.7939748220823962,0.6063637023549205,0.01528748161480805,0.0018634239866975686
204838709677419.38,-0.003469879962589627,0.006716254512418696,9.282777173607764e-05,-0.00014150595145153298,-0.5512554069224324,0.8327869822939536,-0.00048134459220372565,0.014205907535793164
206451612903225.8,-0.006201724930961993,0.010419478335977788,8.889530382127427e-05,0.00014128828874848562,-0.8678949999229415,-0.4933636948970621,-0.01313327851255641,0.0008687717031991691
208064516129032.28,-0.006184013633024937,0.0071415452988930084,-0.00011898440337378175,3.469096122421181e-05,0.43293448341598406,-0.8990456438242114,-0.0021767810306600444,-0.012100063416909985
209677419354838.72,-0.003738090975110556,0.010472583406827057,-4.810684148311076e-05,-3.273066999315661e-05,0.9261055884624042,0.37018881354751343,0.011123876587907845,-0.003410119547138497
211290322580645.2,-0.005828974703381176,0.011527059004173784,-4.3321530869040324e-05,-0.00019462491502796877,-0.305520321467233,0.9488313382990887,0.004532229969293723,0.010175391756512667
212903225806451.62,-0.007199760519229548,0.012740569449489206,0.0004297014695645494,6.585768532921093e-05,-0.9670764155566164,-0.23895586886777156,-0.009183554591937305,0.005584558717708711
