f(Hz),real(S11),imag(S11),real(S21),imag(S21)
174193548387096.75,0.0027077416493170962,0.0009137905732125974,0.9209629437815693,0.016382331821830798
175806451612903.2,0.002211315252854101,0.0018100514543825765,0.8757597024816844,0.28446927729437943
177419354838709.66,0.0013552866644130116,0.002326282508300802,0.7542428039275137,0.5276957705654536
179032258064516.1,0.00041338639543025973,0.002343991569436504,0.5669639517632872,0.724841165321305
180645161290322.56,-0.00032895808919813354,0.001916497206103947,0.3302247245984924,0.858674219223937
182258064516129.0,-0.0006695120333136402,0.0012426978485487693,0.06466852061625475,0.9174642438728433
183870967741935.47,-0.0005522843378025801,0.00059529291567932,-0.2065103613388969,0.8960192644905375
185483870967741.94,-8.08095533243371e-05,0.0002288265373187527,-0.45958770804903337,0.7961576958492116
187096774193548.38,0.0005195647810770902,0.0002974150509266438,-0.672385346167667,0.626568557788063
188709677419354.84,0.0009759229857449316,0.0008069068467143253,-0.8262205782332245,0.4020684239789948
190322580645161.28,0.0010540715140004977,0.0016140653501701381,-0.9075564510189755,0.14231608564502538
191935483870967.75,0.0006307149456710499,0.002470625620545274,-0.9092044369255835,-0.12990460331301437
193548387096774.2,-0.0002689614041663749,0.003097258547510689,-0.8309703877401815,-0.3906828778927436
195161290322580.62,-0.0014776364248956432,0.003264877946045488,-0.6796849392808781,-0.6170831386498622
196774193548387.1,-0.002732652285081196,0.0028598425649077244,-0.4686152978728621,-0.7891652339601474
198387096774193.53,-0.003748569482416251,0.0019151724274288904,-0.21630965429634572,-0.8917453070429406
200000000000000.0,-0.004294170853808846,0.0006001326628488484,0.055025515946126605,-0.9157428027103505
201612903225806.44,-0.0042520322906420775,-0.000827421543687461,0.32147495362401846,-0.8589944512683756
203225806451612.88,-0.0036444751719817525,-0.0020910444623391837,0.5595215702967642,-0.7264612550099935
204838709677419.38,-0.0026200623112756253,-0.0029672144319780034,0.7481260016254973,-0.5298064675552399
206451612903225.8,-0.0014064751996445755,-0.0033379494313698177,0.8705940177100492,-0.28637806151041423
208064516129032.28,-0.00024520458675991215,-0.003210622544330065,0.9160637752844414,-0.017683330254858118
209677419354838.72,0.000672071489638297,-0.002701362658967785,0.8804786686100495,0.2525095100408826
211290322580645.2,0.0012469486044925082,-0.001989192021389297,0.7669584161849711,0.5002741504410276
212903225806451.62,0.0014857174767116776,-0.0012566478568056911,0.585534734859372,0.7036477869248118
